,upc,sku,
605,7.41271E+11,0,0
606,7.8692E+11,0,0
607,7.15408E+11,0,0
608,8.879E+11,0,0
609,8.89894E+11,292334043,1
610,7.8692E+11,0,0
611,8.879E+11,0,0
612,8.89234E+11,277653936,1
613,8.88793E+11,0,0
614,8.88794E+11,268807377,1
615,8.879E+11,270277484,1
616,8.86227E+11,0,0
617,8.84116E+11,294949614,1
618,8.89234E+11,277653984,1
619,8.89349E+11,287017265,1
620,8.88793E+11,265486531,1
621,8.86228E+11,283017565,1
622,6.40627E+11,0,0
623,8.88863E+11,0,0
624,8.88864E+11,297436858,1
625,8.88182E+11,269348856,1
626,8.879E+11,269250106,1
627,22265951361,282570693,1
628,8.89956E+11,0,0
629,22265892862,292334874,1
630,8.89801E+11,292340152,1
631,1.90404E+11,294872102,1
632,8.88793E+11,0,0
633,7.15408E+11,0,0
634,7.15408E+11,0,0
635,7.15408E+11,0,0
636,8.89801E+11,0,0
637,8.88863E+11,0,0
638,7.94504E+11,0,0
639,8.88863E+11,0,0
640,7.95962E+11,0,0
641,7.41271E+11,0,0
642,22265620472,0,0
643,8.88793E+11,0,0
644,6.40627E+11,0,0
645,8.89296E+11,0,0
646,7.51493E+11,0,0
647,6.49906E+11,0,0
648,8.84116E+11,283405406,1
649,8.12177E+11,0,0
650,8.25633E+11,0,0
651,6.39068E+11,0,0
652,8.0732E+11,0,0
653,8.89233E+11,276172770,1
654,8.88864E+11,295683984,1
655,8.88864E+11,295877436,1
656,8.88864E+11,295877418,1
657,8.88864E+11,295877417,1
658,6.83406E+11,285928464,1
659,8.88794E+11,0,0
660,8.88863E+11,286999797,1
661,8.879E+11,0,0
662,8.89296E+11,0,0
663,8.84116E+11,287865802,1
664,8.84116E+11,287088171,1
665,1.90151E+11,294490040,1
666,8.89296E+11,0,0
667,8.89349E+11,281153225,1
668,7.15408E+11,0,0
669,7.37257E+11,0,0
670,22265714492,0,0
671,8.89661E+11,0,0
672,8.879E+11,0,0
673,8.89349E+11,0,0
674,8.87899E+11,0,0
675,1.90152E+11,0,0
676,8.89661E+11,0,0
677,8.89349E+11,292333964,1
678,8.88183E+11,0,0
679,7.30639E+11,0,0
680,8.84116E+11,268614781,1
681,8.88794E+11,0,0
682,7.1711E+11,0,0
683,8.88863E+11,289212866,1
684,9.19575E+11,269250106,1
685,8.88864E+11,296132188,1
686,8.89661E+11,0,0
687,8.89349E+11,278457485,1
688,8.89894E+11,292333920,1
689,8.89234E+11,0,0
690,8.88863E+11,278626298,1
691,8.879E+11,270431046,1
692,8.84116E+11,0,0
693,7.17356E+11,0,0
694,22265991053,0,0
695,4.00028E+11,0,0
696,8.84116E+11,0,0
697,8.89296E+11,276946618,1
698,8.89894E+11,0,0
699,8.879E+11,265607797,1
700,7.87468E+11,0,0
701,8.84116E+11,0,0
702,8.89895E+11,287881529,1
703,8.89894E+11,284438514,1
704,96633106141,208344488,1
705,8.88863E+11,0,0
706,8.86228E+11,277228144,1
707,8.879E+11,265486559,1
708,8.88794E+11,0,0
709,8.89349E+11,0,0
710,8.89894E+11,292333749,1
711,8.88183E+11,292332931,1
712,8.89894E+11,0,0
713,8.84116E+11,265455968,1
714,8.84116E+11,292333128,1
715,8.879E+11,271838124,1
716,22265638484,0,0
717,8.89297E+11,0,0
718,8.89955E+11,0,0
719,8.84116E+11,0,0
720,8.86228E+11,292336802,1
721,7.93889E+11,0,0
722,8.1493E+11,293979361,1
723,8.89233E+11,0,0
724,8.86228E+11,249961919,1
725,8.89349E+11,0,0
726,8.88182E+11,0,0
727,8.89234E+11,284020384,1
728,6.18997E+11,0,0
729,8.84116E+11,0,0
730,8.84116E+11,287928029,1
731,8.86112E+11,0,0
732,8.84116E+11,276062993,1
733,8.89895E+11,0,0
734,7.61645E+11,0,0
735,8.87112E+11,0,0
736,8.88863E+11,286999799,1
737,8.879E+11,292340743,1
738,8.87899E+11,0,0
739,1.90404E+11,0,0
740,7.54564E+11,0,0
741,8.84116E+11,0,0
742,22265896488,292333870,1
743,8.89894E+11,0,0
744,8.88863E+11,0,0
745,8.88773E+11,0,0
746,22265757758,0,0
747,8.88966E+11,276807572,1
748,8.89297E+11,0,0
749,8.88965E+11,0,0
750,8.84116E+11,0,0
751,7.15408E+11,0,0
752,8.87899E+11,0,0
753,8.86227E+11,256247184,1
754,22265923665,281083812,1
755,7.66653E+11,0,0
756,7.66653E+11,0,0
757,8.89894E+11,285588379,1
758,7.66653E+11,0,0
759,8.84116E+11,0,0
760,8.89801E+11,0,0
761,8.86228E+11,0,0
762,8.89349E+11,289332536,1
763,8.89234E+11,0,0
764,6.62725E+11,0,0
765,8.88632E+11,265669604,1
766,4.00089E+11,0,0
767,8.88864E+11,0,0
768,8.89894E+11,287012889,1
769,8.879E+11,276736118,1
770,7.65739E+11,0,0
771,8.89895E+11,288371682,1
772,8.88794E+11,279116006,1
773,7.15408E+11,0,0
774,8.89894E+11,0,0
775,8.89894E+11,0,0
776,8.89801E+11,285097080,1
777,8.88794E+11,292343447,1
778,8.89956E+11,0,0
779,8.84116E+11,285608863,1
780,8.88965E+11,0,0
